Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
104,,,,,-114.38400270,43.34009790,1472.801,,,,,1.886,m,FIX,2022-06-03 11:02:25.8 UTC-06:00,2022-06-03 11:02:25.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,164.011,Global CS
105,,,,,-114.38401089,43.34009325,1472.983,,,,,1.886,m,FIX,2022-06-03 11:02:34.4 UTC-06:00,2022-06-03 11:02:34.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,163.69,Global CS
106,,,,,-114.38400114,43.34008447,1472.787,,,,,1.886,m,FIX,2022-06-03 11:02:43.0 UTC-06:00,2022-06-03 11:02:43.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,162.537,Global CS
107,,,,,-114.38385172,43.34010256,1471.080,,,,,1.886,m,FIX,2022-06-03 11:03:49.2 UTC-06:00,2022-06-03 11:03:49.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,161.808,Global CS
108,,,,,-114.38383667,43.34010245,1470.948,,,,,1.886,m,FIX,2022-06-03 11:04:06.6 UTC-06:00,2022-06-03 11:04:06.6 UTC-06:00,1,1.5,,,,-114.3834972,43.33865517,1462.44,161.569,Global CS
109,,,,,-114.38383408,43.34011286,1470.936,,,,,1.886,m,FIX,2022-06-03 11:04:17.0 UTC-06:00,2022-06-03 11:04:17.0 UTC-06:00,1,1.5,,,,-114.3834972,43.33865517,1462.44,162.672,Global CS
110,,,,,-114.38384681,43.34011482,1471.029,,,,,1.886,m,FIX,2022-06-03 11:04:25.8 UTC-06:00,2022-06-03 11:04:25.8 UTC-06:00,1,1.5,,,,-114.3834972,43.33865517,1462.44,163.072,Global CS
111,,,,,-114.38372018,43.34011962,1469.611,,,,,1.886,m,FIX,2022-06-03 11:06:12.8 UTC-06:00,2022-06-03 11:06:12.8 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,162.07,Global CS
112,,,,,-114.38371189,43.34011540,1469.540,,,,,1.886,m,FIX,2022-06-03 11:06:22.0 UTC-06:00,2022-06-03 11:06:22.0 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,161.529,Global CS
113,,,,,-114.38372540,43.34011460,1469.712,,,,,1.886,m,FIX,2022-06-03 11:06:29.6 UTC-06:00,2022-06-03 11:06:29.6 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,161.57,Global CS
114,,,,,-114.38371933,43.34010987,1469.597,,,,,1.886,m,FIX,2022-06-03 11:06:40.8 UTC-06:00,2022-06-03 11:06:40.8 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,160.986,Global CS
115,,,,,-114.38358848,43.34032232,1468.181,,,,,1.886,m,FIX,2022-06-03 11:07:29.2 UTC-06:00,2022-06-03 11:07:29.2 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,183.677,Global CS
116,,,,,-114.38359551,43.34032346,1468.244,,,,,1.886,m,FIX,2022-06-03 11:07:38.8 UTC-06:00,2022-06-03 11:07:38.8 UTC-06:00,1,1.7,,,,-114.3834972,43.33865517,1462.44,183.829,Global CS
